id,review,positive,negative,neutral,Clean,Comfort,Facilities/Amenities,Location,Restaurant (dinner),Staff,View (Balcony),Breakfast,Room,Pool,Beach,Bathroom/Shower (toilet),Bar,Bed,Parking,Noise,Reception-checkin,Lift,Value for money,Wi-Fi,Generic,Aspect,
1,1 elevator not working.,,1,,,,,,,,,,,,,,,,,,,1,,,,,
2,1 euros to park per day on their own premises.,,,1,,,,,,,,,,,,,,,1,,,,1,,,,
3,1 hour queue to check-in.,,1,,,,,,,,,,,,,,,,,,1,,,,,,
4,1 min walk to metro entrance and also few min walk to the central station where you can access rail trains.,1,,,,,,1,,,,,,,,,,,,,,,,,,,
5,"1 minute walk from the main metro & train station, which made getting around Copenhagen extremely easy.",1,,,,,,1,,,,,,,,,,,,,,,,,,,
6,1 person room was little.,,1,,,,,,,,,,1,,,,,,,,,,,,,,
7,1 stop (3 min ride) away from the airport.,1,,,,,,1,,,,,,,,,,,,,,,,,,,
8,1 stops right at the hotel.,1,,,,,,1,,,,,,,,,,,,,,,,,,,
9,10 mins to the historical centre along the river and through the famous Mirabell gardens.,1,,,,,,1,,,,,,,,,,,,,,,,,,,
10,10 mins walk to city or 10 mins bike ride to hip area meat packing district.,1,,,,,,1,,,,,,,,,,,,,,,,,,,
11,10 minutes from marina and beach.,,,1,,,,1,,,,,,,1,,,,,,,,,,,,
12,10 minutes walk from the beach.,1,,,,,,1,,,,,,,1,,,,,,,,,,,,
13,100 meters from a private parking.,,,1,,,,1,,,,,,,,,,,,,,,,,,,
14,10-12 minutes to the old town / town hall / cathedral.,,,1,,,,1,,,,,,,,,,,,,,,,,,,
15,10min walk to the center.,1,,,,,,1,,,,,,,,,,,,,,,,,,,
16,11 ? per day additional parking fees and bad Wi-Fi.,,1,,,,,,,,,,,,,,,,1,,,,1,1,,1,
17,11 floor from which you can enjoy a nice view of Naples.,1,,,,,,,,,1,,,,,,,,,,,,,,,,
18,11th floor with bad elevator - extremely dirty - there is no staff - not recommended.,,1,,1,,,,,1,,,,,,,,,,,,1,,,,,
19,15 euros a day to park my car.,,1,,,,,,,,,,,,,,,,1,,,,1,,,,
20,15 euros for a very average breakfast.,,1,,,,,,,,,1,,,,,,,,,,,1,,,,
21,15 mins walk will take you to Stroget and Tivoli.,1,,,,,,1,,,,,,,,,,,,,,,,,,,
22,15 minutes you were on the beach.,1,,,,,,1,,,,,,,1,,,,,,,,,,,,
23,15? parking fee per 24 hours in the nearby underground car park.,,1,,,,,,,,,,,,,,,,1,,,,1,,,,
24,15? parking fee quite expensive.,1,,,,,,1,,,,,,,,,,,1,,,,,,,,
25,15min walking from Sants.,1,,,,,,1,,,,,,,,,,,,,,,,,,,
26,2 beds for a couple are uncomfortable.,,1,,,1,,,,,,,,,,,,1,,,,,,,,,
27,2 days sleeping in a room with a window that could not be closed.,,1,,,,,,,,1,,1,,,,,,,,,,,,,,
28,2 days without air conditioning.,,1,,,,1,,,,,,1,,,,,,,,,,,,,,
29,2 minute walk from any amenities.,1,,,,,1,1,,,,,,,,,,,,,,,,,,,
30,2 minute walk to Metro station with direct link to airport.,1,,,,,,1,,,,,,,,,,,,,,,,,,,
31,"2 minutes walk from La Rambla Poblenou, which is full of restaurants, bars and shops.",1,,,,,,1,1,,,,,,,,1,,,,,,,,,,
32,2 nearby metro stations.,1,,,,,,1,,,,,,,,,,,,,,,,,,,
33,"2 unclean plastic boxes as additional storage space, an unstable stool as a shelf.",,1,,1,,1,,,,,,,,,,,,,,,,,,,,
34,20 min walk to the main center.,1,,,,,,1,,,,,,,,,,,,,,,,,,,
35,20 minutes of fast walk to train station.,1,,,,,,1,,,,,,,,,,,,,,,,,,,
36,"20 minutes on foot to the city center, almost directly at the congress building.",1,,,,,,1,,,,,,,,,,,,,,,,,,,
37,205 danish crowns per person for breakfast is overly expensive.,,1,,,,,,,,,1,,,,,,,,,,,1,,,,
38,231 euros!!! It's exploited.,,1,,,,,,,,,,,,,,,,,,,,1,,,,
39,24 hour app worked well for initial entry but hard to re-access the hotel the next day.,,1,,,,,1,,,,,,,,,,,,,,,,,,1,
40,24 hour bar.,1,,,,,,,,,,,,,,,1,,,,,,,,,,
41,24 hour check in option.,1,,,,,,,,,,,,,,,,,,,1,,,,,,
42,24 hour shop was right round the corner.,1,,,,,,1,,,,,,,,,,,,,,,,,,,
43,24/7 reception made it easy to check it when we arrived late and left early.,1,,,,,,,,1,,,,,,,,,,,1,,,,,,
44,24h reception and very friendly staff.,1,,,,,,,,1,,,,,,,,,,,,,,,,,
45,24h reception is a big plus with bar and some snacks / sandwiches.,1,,,,,,,,1,,,,,,,1,,,,,,,,,,
46,24h reception.,1,,,,,,,,1,,,,,,,,,,,,,,,,,
47,"24-hour coffee / tea making facility in the breakfast room freely available to guests a real bonus and very much appreciated by us, with a wide variety of choice on how you want the coffee: largo, espresso, latte, with proper frothed milk if so desired, etc, etc, and a good selection of teas.",1,,,,,1,,,,,1,1,,,,,,,,,,,,,,
48,24-hour service at the hotel bar!,1,,,,,,,,1,,,,,,,1,,,,,,,,,,
49,24hr front desk for when our flight was very delayed we could check in at 2am.,1,,,,,,,,1,,,,,,,,,,,1,,,,,,
50,"25 min drive from the airport, 20 min walk to the beach and public transit was less than a 5 minute walk away.",1,,,,,,1,,,,,,,1,,,,,,,,,,,,
51,2km away at another hotel.,,,1,,,,1,,,,,,,,,,,,,,,,,,,
52,"3 stars can't be, it is only 2 stars poor quality of decoration in the room broken things, dirty walls also there was mold near the window.",,1,,1,,,,,,,,1,,,,,,,,,,,,1,,
53,"30 min walk to historical centre with little to no public transport, expensive parking.",,1,,,,,1,,,,,,,,,,,1,,,,1,,,,
54,3min train ride to airport terminal.,,1,,,,,1,,,,,,,,,,,,,,,,,,,
55,4 alcoholic drinks 2 pizzas and a starter.,,,1,,,,,1,,,,,,,,,,,,,,,,,,
56,"40 degrees, not even a bottle of water.",,1,,,,1,,,,,,1,,,,,,,,,,,,,,
57,"4th floor, too noisy, everything was heard through the walls, the nights weren?t so comfortable, no quiet.",,1,,,1,,,,,,,1,,,,,,,1,,,,,,,
58,5 euros although we parked only for 20 minutes there.,,1,,,,,,,,,,,,,,,,1,,,,1,,,,
59,5 min walk to the train.,1,,,,,,1,,,,,,,,,,,,,,,,,,,
60,5 min walking distance from city hall.,1,,,,,,1,,,,,,,,,,,,,,,,,,,
61,5 minutes from the beach and only a 5 minute walk to the metro station or tram station.,1,,,,,,1,,,,,,,1,,,,,,,,,,,,
62,"5 minutes to the Mirabell palace/Mozart's birthplace, approx.",1,,,,,,1,,,,,,,,,,,,,,,,,,,
63,5 minutes walk to Mirabellplatz - very centrally located.,1,,,,,,1,,,,,,,,,,,,,,,,,,,
64,"5 of the rooms I had booked (all in the ""hotel"" there are 10), had a strong smell of sewage.",,1,,1,,,,,,,,1,,,,,,,,,,,,,,
65,"5 sqm bathroom was at the upper level and had a shower head and the sealing at 188 cm, so I had to take a shower bend forward in the 1 sqm shower pretty uncomfortable! ",,1,,,1,,,,,,,1,,,1,,,,,,,,,,,
66,5 time need to change room keys since both didn't work.,,1,,,,,,,,,,1,,,,,,,,,,,,,,
67,50 EUR extra for an omelette.,,1,,,,,,,,,1,,,,,,,,,,,1,,,,
68,50 euro for 2 people was very high.,,1,,,,,,,,,,,,,,,,,,,,1,,,,
69,50? per day too much.,,1,,,,,,,,,,,,,,,,,,,,1,,,,
70,50? seems excessive to me in Naples and it says a Neapolitan.,,1,,,,,,,,,,,,,,,,,,,,1,,,,
71,"5km from where the actual accommodation was, the reception staff were unhelpful & I didn?t appreciate him questioning wether my card was a credit or debit card.",,1,,,,,1,,1,,,,,,,,,,,,,,,,,
72,"5m walk from Toledo metro station, so central.",1,,,,,,1,,,,,,,,,,,,,,,,,,,
73,5th was closer to 3*** and was ok.,,,1,,,,,,,,,,,,,,,,,,,,,,,
74,6 minutes from Catalonia plaza.,1,,,,,,1,,,,,,,,,,,,,,,,,,,
75,7 min walk to train and metro station.,1,,,,,,1,,,,,,,,,,,,,,,,,,,
76,"7 minutes on foot from the main station, approx.",1,,,,,,1,,,,,,,,,,,,,,,,,,,
77,"7th floor was uncomfortably warm, fan didn?t work in the room.",,1,,,1,1,,,,,,1,,,,,,,,,,,,,,
78,8 min walk from metro.,1,,,,,,1,,,,,,,,,,,,,,,,,,,
79,9mins to copenhagan centre on train.,1,,,,,,1,,,,,,,,,,,,,,,,,,,
80,"A ""double"" was two singles pushed together, wasn't great as a couple, I fell through the gap between the two mattresses on the first night.",,1,,,1,,,,,,,,,,,,1,,,,,,,,,
81,A 15 min walk to tivoli gardens and main square.,,,1,,,,1,,,,,,,,,,,,,,,,,,,
82,A 24-hour reception is also convenient especially as we suddenly ran into a problem with the access card late in the evening and the problem was solved immediately.,1,,,,,,1,,1,,,,,,,,,,,,,,,,,
83,"A 4-star hotel but no AC (in summer it can get very hot), fridge or kettle for tea / coffee in the room.",,1,,,,1,,,,,,1,,,,,,,,,,,,,1,
84,A 4-star should have a superior overall quality.,,1,,,,,,,,,,,,,,,,,,,,,,,,
85,A bar that doesn't work.,,1,,,,,,,,,,,,,,1,,,,,,,,,,
86,"A beautiful room with a terrace overlooking the courtyard, so absolute peace.",1,,,,,,,,,,,1,,,,,,,,,,,,,,
87,A beautiful view from the top roof to the breakfast room.,1,,,,,,,,,1,1,,,,,,,,,,,,,,,
88,A bedÿÿwas a bit too small for an adult.,,1,,,1,,,,,,,,,,,,1,,,,,,,,,
89,A big plus is that they offer bikes free of charge for the guests.,1,,,,,1,,,,,,,,,,,,,,,,1,,,,
90,A big window giving on the main street that we could open to get some fresh air in the morning and during night (but noise).,,,1,,,,,,,1,,1,,,,,,,1,,,,,,1,
91,A bigger room would have been better.,,1,,,1,,,,,,,1,,,,,,,,,,,,,,
92,A bit basic room.,,,1,,,,,,,,,1,,,,,,,,,,,,,,
93,A bit confused policy about the parking.,,1,,,,,,,,,,,,,,,,1,,,,,,,,
94,A bit dark in the room.,,1,,,,,,,,,,1,,,,,,,,,,,,,,
95,A bit dirty on the corridor and room.,,1,,1,,,,,,,,1,,,,,,,,,,,,,,
96,A bit dusty and dirty.,,1,,1,,,,,,,,,,,,,,,,,,,,,,
97,"A bit expensive in general, but okay for Salzburg!",,,1,,,,,,,,,,,,,,,,,,,1,,,,
98,A bit far a away from city center if walking.,,1,,,,,1,,,,,,,,,,,,,,,,,,,
99,A bit far away from the center of the city.,,1,,,,,1,,,,,,,,,,,,,,,,,,,
100,A bit far from centre.,,1,,,,,1,,,,,,,,,,,,,,,,,,,
101,A bit far from the beach.,,1,,,,,1,,,,,,,1,,,,,,,,,,,,
102,A bit far from the center but quiet.,,,1,,,,1,,,,,,,,,,,,1,,,,,,1,
103,A bit far from the center but subway accessible less than 10 min walk.,,,1,,,,1,,,,,,,,,,,,,,,,,,1,
104,"A bit far from the center, as soon as you want to move on foot you do not count the kilometers.",,1,,,,,1,,,,,,,,,,,,,,,,,,,
105,A bit far from the center.,,1,,,,,1,,,,,,,,,,,,,,,,,,,
106,A bit far from the city centre and the entire area around the hotel is under construction.,,1,,,,,1,,,,,,,,,,,,,,,,,,,
107,A bit far from the city centre but really really close to the airport and suitable for those having an early flight.,,,1,,,,,,,,,,,,,,,,,,,,,,1,
108,"A bit far from train station,  need to take bus.",,1,,,,,1,,,,,,,,,,,,,,,,,,,
109,A bit further from the center.,,1,,,,,1,,,,,,,,,,,,,,,,,,,
110,"A bit hard to find at first, but very cool when you knew where to go.",1,,,,,,1,,,,,,,,,,,,,,,,,,1,
111,A bit loud outside at night.,,1,,,,,,,,,,,,,,,,,1,,,,,,,
112,A bit more emphasis should be placed on cleanliness.,,1,,1,,,,,,,,,,,,,,,,,,,,,,
113,"A bit noise in Friday night, wall is very thin.",,1,,,,,,,,,,,,,,,,,1,,,,,,,
114,A bit noisy area due to constructions.,,1,,,,,,,,,,,,,,,,,1,,,,,,,
115,A bit noisy because of the neighbors.,,1,,,,,1,,,,,,,,,,,,1,,,,,,,
116,A bit noisy but that does not stop you from sleeping.,,,1,,,,1,,,,,,,,,,1,,1,,,,,,1,
117,A bit noisy due to a lot of people walking past my room on the way to the hotel pool (my room was on the 7th floor).,,1,,,,,1,,,,,1,1,,,,,,1,,,,,,,
118,A bit noisy in the evening/night.,,1,,,,,,,,,,,,,,,,,1,,,,,,,
119,A bit noisy in the hallway.,,1,,,,,,,,,,,,,,,,,1,,,,,,,
120,A bit noisy outside.,,1,,,,,,,,,,,,,,,,,1,,,,,,,
121,"A bit of a bad reception, faulty locks, not really the best area of Naples.",,1,,,,1,1,,1,,,,,,,,,,,,,,,,,
122,A bit of a walk to downtown and for some reason our last night parking was cancelled in favor of new guests.,,1,,,,,,,,,,,,,,,,1,,,,,,,,
123,A bit of dust in our room.,,1,,1,,,,,,,,1,,,,,,,,,,,,,,
124,A bit of noise some mornings.,,1,,,,,,,,,,,,,,,,,1,,,,,,,
125,A bit old fashioned hotel.,,1,,,,,,,,,,,,,,,,,,,,,,1,,
126,A bit old hotel / interior.,,1,,,,,,,,,,,,,,,,,,,,,,1,,
127,A bit outdated interior rooms.,,1,,,,,,,,,,1,,,,,,,,,,,,1,,
128,A bit outdated rooms.,,1,,,,,,,,,,1,,,,,,,,,,,,,,
129,A bit poorly soundproofed.,,1,,,,,,,,,,,,,,,,,1,,,,,,,
130,"A bit pricey breakfast, gluten free options were not visible.",,1,,,,,,,,,1,,,,,,,,,,,,,,,
131,A bit pricy when it comes to breakfast.,,1,,,,,,,,,1,,,,,,,,,,,,,,,
132,A bit shortage of staff.,,1,,,,,,,1,,,,,,,,,,,,,,,,,
133,A bit slow on replenishing condiments in the room like tea & milk.,,1,,,,1,,,,,,1,,,,,,,,,,,,,,
134,A bit too far from everything.,,1,,,,,1,,,,,,,,,,,,,,,,,,,
135,A bit too small room.,,1,,,1,,,,,,,1,,,,,,,,,,,,,,
136,A bit tricky to find the building but it's okay.,,1,,,,,1,,,,,,,,,,,,,,,,,,,
137,A bit worn out carpets and not possible to activate the cooling system in the room.,,1,,,,,,,,,,1,,,,,,,,,,,,,,
138,A box containing juice boxes and wrapped bread/ toast is not a breakfast i expect in a hotel.,,1,,,,,,,,,1,,,,,,,,,,,,,,,
139,A breathtaking view.,1,,,,,,,,,1,,,,,,,,,,,,,,,,
140,A Broken phone in the room.,,1,,,,,,,,,,1,,,,,,,,,,,,,,
141,A cleaning kit would be a real comfort.,,1,,1,1,,,,,,,,,,,,,,,,,,,,,
142,"A closed kitchen for dinner one of the nights (at 7pm) however, the bar staff saved this by cooking us pizzas - so 10 out of 10 for a great rescue.",1,,,,,,,1,1,,,,,,,1,,,,,,,,,,
143,A coffee maker and tea seems the minimum in a room of this standard.,,1,,,,1,,,,,,1,,,,,,,,,,,,,,
144,A comfortable place to stay to begin your Salzburg adventure.,1,,,,1,,,,,,,,,,,,,,,,,,,,,
145,A comfortable place to stay.,1,,,,1,,,,,,,,,,,,,,,,,,,,,
146,A comfortable seat at reception for arrival.,1,,,,1,,,,1,,,,,,,,,,,,,,,,,
147,A couple of the loungers on the rooftop were broken.,,1,,,,,,,,,,,1,,,,,,,,,,,,,
148,"A cozy ""living room"" with books, magazines and a fireplace and drinks instead of an anonymous foyer.",1,,,,,1,,,,,,1,,,,,,,,,,,,,,
149,A cozy and very well-kept accommodation.,1,,,,,,,,,,,,,,,,,,,,,,,,,
150,A cozy boutique hotel! ,1,,,,,,,,,,,,,,,,,,,,,,,,,
151,A dear garden with a tortoise.,1,,,,,,,,,,,,,,,,,,,,,,,1,,
152,A drawback is that the windows cannot be opened and therefore you are dependent on the air conditioning.,,1,,,,1,,,,,,1,,,,,,,,,,,,,,
153,A family of pigeon lives in the small terrace area and since they live exactly next to the pipe from the shower which gets the humidity out you can hear them in any kind of activity with a sound amplification 3 meters from the bed all day long.,,1,,,,,,,,,,1,,,1,,1,,,,,,,,,
154,A fan is available but very noisy and not in good condition.,,1,,,,1,,,,,,,,,,,,,,,,,,,,
155,A few gentlemen at front desk could be more helpful and friendly.,,1,,,,,,,1,,,,,,,,,,,,,,,,,
156,A few hundred meters from the central station.,1,,,,,,1,,,,,,,,,,,,,,,,,,,
157,"A few improvements could be made to the room I stayed in, such as making sure the light behind the entrance door works; the shower guard / door works correctly to stop water going across the bathroom floor; the bath tap is fixed against the wall correctly.",,1,,,,,,,,,,1,,,1,,,,,,,,,,,
158,A few lamps didn?t work.,,1,,,,1,,,,,,,,,,,,,,,,,,,,
159,A few minutes from downtown.,1,,,,,,1,,,,,,,,,,,,,,,,,,,
160,A few minutes from the Center by BUS.,1,,,,,,1,,,,,,,,,,,,,,,,,,,
161,"A few minutes from the central station (bus, metro, train).",1,,,,,,1,,,,,,,,,,,,,,,,,,,
162,A few minutes from the metro.,1,,,,,,1,,,,,,,,,,,,,,,,,,,
163,A few more staff helping during busy times of the day would be good.,,1,,,,,,,1,,,,,,,,,,,,,,,,,
164,A few rooms need update.,,1,,,,,,,,,,1,,,,,,,,,,,,,,
165,A few steps to the historic center.,1,,,,,,1,,,,,,,,,,,,,,,,,,,
166,"A few things needing maintenance-pool furniture, room lamps and faucets.",,1,,,,1,,,,,,1,1,,,,,,,,,,,,,
167,A fridge in the room and it would be perfect.,,1,,,,1,,,,,,1,,,,,,,,,,,,,,
168,A fridge in the room would be good.,,,1,,,1,,,,,,1,,,,,,,,,,,,,,
169,A good and functional room.,1,,,,,,,,,,,1,,,,,,,,,,,,,,
170,A good breakfast and friendly service in the evening in the little bar.,1,,,,,,,,1,,1,,,,,1,,,,,,,,,,
171,A good breakfast and nice staff.,1,,,,,,,,1,,1,,,,,,,,,,,,,,,
172,A good choice for those who want an accommodation that's easy to reach from the airport.,1,,,,,,1,,,,,,,,,,,,,,,,,,,
173,"A good location a short walk from the old town, simple but clean and a good sized room.",1,,,1,,,1,,,,,1,,,,,,,,,,,,,1,
174,A good location for walking everywhere!,1,,,,,,1,,,,,,,,,,,,,,,,,,,
175,A good location if you need to walk to the main areas.,1,,,,,,1,,,,,,,,,,,,,,,,,,,
176,"A good location,buses stop right outside the hotel and it?s only about 10 minutes to the town.",1,,,,,,1,,,,,,,,,,,,,,,,,,,
177,A good sized room with big bed.,1,,,,1,,,,,,,1,,,,,1,,,,,,,,,
